Exchange,Trade_date
SSE,2019-05-28
SSE,2019-05-29
SSE,2019-05-30
SSE,2019-05-31
SSE,2019-06-03
SSE,2019-06-04
SSE,2019-06-05
SSE,2019-06-06
SSE,2019-06-10
SSE,2019-06-11
SSE,2019-06-12
SSE,2019-06-13
SSE,2019-06-14
SSE,2019-06-17
SSE,2019-06-18
SSE,2019-06-19
SSE,2019-06-20
SSE,2019-06-21
SSE,2019-06-24
SSE,2019-06-25
SSE,2019-06-26
SSE,2019-06-27
SSE,2019-06-28
SSE,2019-07-01
SSE,2019-07-02
SSE,2019-07-03
SSE,2019-07-04
SSE,2019-07-05
SSE,2019-07-08
SSE,2019-07-09
SSE,2019-07-10
SSE,2019-07-11
SSE,2019-07-12
SSE,2019-07-15
SSE,2019-07-16
SSE,2019-07-17
SSE,2019-07-18
SSE,2019-07-19
SSE,2019-07-22
SSE,2019-07-23
SSE,2019-07-24
SSE,2019-07-25
SSE,2019-07-26
SSE,2019-07-29
SSE,2019-07-30
SSE,2019-07-31
SSE,2019-08-01
SSE,2019-08-02
SSE,2019-08-05
SSE,2019-08-06
SSE,2019-08-07
SSE,2019-08-08
SSE,2019-08-09
SSE,2019-08-12
SSE,2019-08-13
SSE,2019-08-14
SSE,2019-08-15
SSE,2019-08-16
SSE,2019-08-19
SSE,2019-08-20
SSE,2019-08-21
SSE,2019-08-22
SSE,2019-08-23
SSE,2019-08-26
SSE,2019-08-27
SSE,2019-08-28
SSE,2019-08-29
SSE,2019-08-30
SSE,2019-09-02
SSE,2019-09-03
SSE,2019-09-04
SSE,2019-09-05
SSE,2019-09-06
SSE,2019-09-09
SSE,2019-09-10
SSE,2019-09-11
SSE,2019-09-12
SSE,2019-09-16
SSE,2019-09-17
SSE,2019-09-18
SSE,2019-09-19
SSE,2019-09-20
SSE,2019-09-23
SSE,2019-09-24
SSE,2019-09-25
SSE,2019-09-26
SSE,2019-09-27
SSE,2019-09-30
SSE,2019-10-08
SSE,2019-10-09
SSE,2019-10-10
SSE,2019-10-11
SSE,2019-10-14
SSE,2019-10-15
SSE,2019-10-16
SSE,2019-10-17
SSE,2019-10-18
SSE,2019-10-21
SSE,2019-10-22
SSE,2019-10-23
SSE,2019-10-24
SSE,2019-10-25
SSE,2019-10-28
SSE,2019-10-29
SSE,2019-10-30
SSE,2019-10-31
SSE,2019-11-01
SSE,2019-11-04
SSE,2019-11-05
SSE,2019-11-06
SSE,2019-11-07
SSE,2019-11-08
SSE,2019-11-11
SSE,2019-11-12
SSE,2019-11-13
SSE,2019-11-14
SSE,2019-11-15
SSE,2019-11-18
SSE,2019-11-19
SSE,2019-11-20
SSE,2019-11-21
SSE,2019-11-22
SSE,2019-11-25
SSE,2019-11-26
SSE,2019-11-27
SSE,2019-11-28
SSE,2019-11-29
SSE,2019-12-02
SSE,2019-12-03
SSE,2019-12-04
SSE,2019-12-05
SSE,2019-12-06
SSE,2019-12-09
SSE,2019-12-10
SSE,2019-12-11
SSE,2019-12-12
SSE,2019-12-13
SSE,2019-12-16
SSE,2019-12-17
SSE,2019-12-18
SSE,2019-12-19
SSE,2019-12-20
SSE,2019-12-23
SSE,2019-12-24
SSE,2019-12-25
SSE,2019-12-26
SSE,2019-12-27
SSE,2019-12-30
SSE,2019-12-31
SSE,2020-01-02
SSE,2020-01-03
SSE,2020-01-06
SSE,2020-01-07
SSE,2020-01-08
SSE,2020-01-09
SSE,2020-01-10
SSE,2020-01-13
SSE,2020-01-14
SSE,2020-01-15
SSE,2020-01-16
SSE,2020-01-17
SSE,2020-01-20
SSE,2020-01-21
SSE,2020-01-22
SSE,2020-01-23
SSE,2020-02-03
SSE,2020-02-04
SSE,2020-02-05
SSE,2020-02-06
SSE,2020-02-07
SSE,2020-02-10
SSE,2020-02-11
SSE,2020-02-12
SSE,2020-02-13
SSE,2020-02-14
SSE,2020-02-17
SSE,2020-02-18
SSE,2020-02-19
SSE,2020-02-20
SSE,2020-02-21
SSE,2020-02-24
SSE,2020-02-25
SSE,2020-02-26
SSE,2020-02-27
SSE,2020-02-28
SSE,2020-03-02
SSE,2020-03-03
SSE,2020-03-04
SSE,2020-03-05
SSE,2020-03-06
SSE,2020-03-09
SSE,2020-03-10
SSE,2020-03-11
SSE,2020-03-12
SSE,2020-03-13
SSE,2020-03-16
SSE,2020-03-17
