feature,count,missing,sum,mean,median,mode,min,q1,q3,max,variance,std,cv,skew,kurtosis
CS_CORD10,1209166,4,282713.4833103462,0.23380866093683267,0.316842825,0.54755217,-1.0,-0.10125126625,0.6152625325000001,1.0,0.20832187174017605,0.4564229088687114,1.9521214784768888,-0.5085491831401391,-0.7300460064223078
CS_CORD20,1209166,4,292311.4737530624,0.24174635554842133,0.29277295000000003,0.3510675,-1.0,-0.005563127525,0.52507031,1.0,0.12683872513497338,0.35614424765110747,1.4732145468880604,-0.4836630989297585,-0.5080467139511193
CS_CORD30,1209166,4,295144.28576264414,0.2440891372753155,0.28154765000000004,0.47329682,-1.0,0.0355311295,0.48221864999999997,1.0,0.09386515522080298,0.3063742078256637,1.255173463455258,-0.4606735871003013,-0.39688117432424086
CS_CORD60,1209166,4,299334.45570938016,0.24755447615081813,0.2688311,0.2501654,-1.0,0.0917926705,0.4214938975,1.0,0.05387997138068561,0.23212059663176296,0.9376546134045568,-0.3965256636977839,-0.2597232854502556
CS_CNTP5,1209170,0,578713.4333333401,0.4786038632560683,0.4,0.4,0.0,0.4,0.6,1.0,0.046882773375430516,0.21652430204351317,0.4524081785935476,0.037384175505498135,-0.3715853939771323
CS_CNTP10,1209170,0,578504.8059524699,0.4784313255807454,0.5,0.5,0.0,0.4,0.6,1.0,0.022423963295234946,0.1497463298222529,0.312994408634265,0.024718056127896376,-0.1700155383201194
CS_CNTP20,1209170,0,578147.5669442702,0.4781358840727691,0.5,0.5,0.0,0.4,0.55,0.95,0.011246481331794312,0.10604942871979232,0.22179767771550965,0.030951875851248044,-0.07446651164996076
CS_CNTP30,1209170,0,577610.2124848102,0.47769148464220096,0.46666667,0.46666667,0.0,0.43333334,0.53333336,0.8666667,0.007661279141058476,0.08752873323119943,0.18323276852372603,-0.0028443774434573302,-0.008276552112647995
CS_CNTP60,1209170,0,577247.13899547,0.4773912179391401,0.48333332,0.48333332,0.0,0.43333334,0.51666665,0.78333336,0.004044230476643766,0.06359426449487222,0.1332120535635398,-0.07098630752706275,0.12028007025696175
CS_SUMP5,1209168,2,594037.8794219913,0.4912782007314048,0.49557522,0.0,0.0,0.27272728,0.7060932,1.0,0.07518853411930579,0.27420527733671685,0.5581466405968872,0.011122234657681428,-0.9636394663873413
CS_SUMP10,1209168,2,594690.1823861543,0.4918176650276507,0.49425286,0.5,0.0,0.34567901,0.6367822475,1.0,0.0392291473007411,0.19806349310446159,0.40271732226886603,-0.008227835077253515,-0.5922895524424705
CS_SUMP20,1209168,2,593198.6131428052,0.4905841149805529,0.49027237,0.5,0.0,0.38683498,0.5936,1.0,0.020514454264502695,0.1432286782194917,0.29195539326659486,0.023541751735297684,-0.3831496370245939
CS_SUMP30,1209168,2,592092.4775016349,0.48966932428052584,0.48857144,0.5,0.0,0.40648147,0.57222223,0.98332715,0.01387366648646648,0.11778652930817887,0.2405430021193248,0.03733511625224083,-0.2284807754272591
CS_SUMP60,1209168,2,592984.3249509607,0.4904068954446038,0.4891566,0.5,0.0,0.433254525,0.5466857150000001,0.9143731,0.006914766613446643,0.0831550756926277,0.16956343082663866,0.0673167927684043,0.05606310096674694
CS_VMA5,1209170,0,1219797.0074844875,1.0087886794119003,0.939116805,1.0235286,0.0038514975,0.7705989424999999,1.1658533750000002,4.9334493,0.1271080272419102,0.3565221272823192,0.3534160667724415,1.6275534886112972,5.22446023681683
CS_VMA10,1209170,0,1231581.3879354855,1.0185345219741522,0.9135563250000001,0.824442,0.0035058514,0.7211623625,1.186857275,9.603716,0.21727338723595377,0.46612593495315596,0.4576437272343971,2.415755064107726,11.82594996014834
CS_VMA20,1209170,0,1248142.3531410058,1.0322306649528237,0.890998025,0.5734566,0.0032592264,0.674152255,1.2120506500000001,17.523487,0.34329819004246703,0.5859165384612958,0.567621713203099,3.2017414522237226,22.160348648362525
