Instrument,Date,Pre_Close,Open,High,Low,Close,Pct_Chg,Volume,Amount,Turnover_rate,Turnover_rate_f,Swing,Up_Days,Down_Days,Constituent_Number,Constituent_Raise_Number,Constituent_Fall_Number,Constituent_Up_Number,Constituent_Dl_Number,Constituent_Chg_Ratio_Aa,Constituent_Chg_Ratio_M,New_High_Num,New_Low_Num,Up_Num_Ratio,Over250_Avgclose_Num_Ratio,Raise_Num_Ratio
000906.SH,2008-04-21,3254.090100,3494.850100,3494.850100,3202.980000,3245.129900,-0.2753519332,6320010000,88257963000.000000,1.6634022200,1.8536300900,8.9693306279,0,4,800,425,319,6,35,-0.5295000000,0.3943000000,0,69,0.7500000000,7.8750000000,53.1250000000
000906.SH,2008-04-22,3245.129900,3188.169900,3264.100100,3085.210000,3256.980000,0.3651656595,5159780000,66281545000.000000,1.3309427400,1.5017965900,5.5125713149,1,0,800,263,488,8,10,-1.1568000000,-1.4497000000,0,133,1.0000000000,7.7500000000,32.8750000000
000906.SH,2008-04-23,3256.980000,3228.560100,3424.340100,3205.679900,3409.830100,4.6930008781,6705060000,91489775000.000000,1.7476683900,1.9748672200,6.7135874338,2,0,800,750,7,45,1,4.8171000000,4.4351000000,0,14,5.6250000000,9.1250000000,93.7500000000
000906.SH,2008-04-24,3409.830100,3691.970000,3731.970000,3611.270000,3725.790000,9.2661478940,14366060000,202546730000.000000,3.6309005800,4.1097044800,3.5397658083,3,0,800,765,1,528,1,9.6997000000,9.9876000000,0,0,66.0000000000,13.3750000000,95.6250000000
000906.SH,2008-04-25,3725.790000,3730.110100,3867.330100,3686.379900,3755.090100,0.7864130829,12760650000,196578720000.000000,3.2550681000,3.6781076700,4.8566934798,4,0,800,425,310,41,2,1.1762000000,0.5779000000,5,1,5.1250000000,13.1250000000,53.1250000000
000906.SH,2008-04-28,3755.090100,3694.179900,3748.990000,3668.550000,3692.090100,-1.6777227263,7961000000,121047657000.000000,2.0670493100,2.3305101300,2.1421589857,0,1,800,249,497,12,4,-1.1005000000,-1.7136000000,2,1,1.5000000000,13.0000000000,31.1250000000
000906.SH,2008-04-29,3692.090100,3670.139900,3756.429900,3666.750000,3735.560100,1.1773818846,7042620000,108849675000.000000,1.7744710500,2.0018213400,2.4289737675,1,0,800,533,198,9,2,1.0736000000,0.8929000000,2,1,1.1250000000,13.2500000000,66.6250000000
000906.SH,2008-04-30,3735.560100,3751.159900,3917.970000,3751.159900,3907.600100,4.6054673301,10770060000,166725940000.000000,2.6849143500,3.0377919200,4.4654642285,2,0,800,758,11,30,2,4.1762000000,3.8454000000,1,1,3.7500000000,16.1250000000,94.7500000000
000906.SH,2008-05-05,3907.600100,3959.659900,4017.700000,3916.429900,4012.000000,2.6717140272,10170640000,158410780000.000000,2.5098807400,2.8343570400,2.5916188302,3,0,800,737,29,49,1,3.6032000000,3.0684000000,3,0,6.1250000000,18.1250000000,92.1250000000
000906.SH,2008-05-06,4012.000000,3979.820100,4037.139900,3923.870100,3973.970000,-0.9479062812,9830100000,155385350000.000000,2.4253286500,2.7504018500,2.8232751745,0,1,800,247,511,18,1,-0.7146000000,-1.5544000000,2,0,2.2500000000,17.5000000000,30.8750000000
